"CERT","CITYST","COST","FAILDATE","ID","NAME","QBFASSET","QBFDEP","RESTYPE"
58034,"MARIANNA, FL",7920,"4/19/2013","4039","CHIPOLA COMMUNITY BANK",37471,37067,"FAILURE"
29594,"LEXINGTON, KY",7767,"4/19/2013","4040","FIRST FEDERAL BANK",92982,87196,"FAILURE"
26680,"ORANGE PARK, FL",25231,"4/19/2013","4041","HERITAGE BANK OF NORTH FLORIDA",103960,106348,"FAILURE"
21649,"DOUGLASVILLE, GA",89606,"4/26/2013","4042","DOUGLAS COUNTY BANK",317288,315326,"FAILURE"
57158,"LENOIR, NC",16490,"4/26/2013","4043","PARKWAY BANK",109642,104709,"FAILURE"
58701,"ASHEVILLE, NC",7943,"5/10/2013","4044","PISGAH COMMUNITY BANK",21880,21246,"FAILURE"
58185,"VALDOSTA, GA",16002,"5/10/2013","4045","SUNRISE BANK",60793,57775,"FAILURE"
34527,"SCOTTSDALE, AZ",5425,"5/14/2013","4046","CENTRAL ARIZONA BANK",31550,30822,"FAILURE"
35386,"KENOSHA, WI",22473,"5/31/2013","4047","BANKS OF WISCONSIN",134024,127590,"FAILURE"
58358,"NORTH LAS VEGAS, NV",5208,"6/6/2013","4048","1st COMMERCE BANK",20152,19579,"FAILURE"
34789,"SEVIERVILLE, TN",33292,"6/7/2013","4049","MOUNTAIN NATIONAL BANK",437282,373366,"FAILURE"
34943,"FORT MYERS, FL",24921,"8/2/2013","4050","FIRST COMMUNITY BANK OF SOUTHWEST FLORIDA",247315,243618,"FAILURE"
35016,"WAUSAU, WI",13428,"8/9/2013","4051","BANK OF WAUSAU",43564,40663,"FAILURE"
19849,"PARSONS, TN",129719,"8/23/2013","4052","COMMUNITY SOUTH BANK",386908,377672,"FAILURE"
34707,"PHOENIX, AZ",15391,"8/23/2013","4053","SUNRISE BANK OF ARIZONA",202179,196924,"FAILURE"
14318,"EDINBURG, TX",616177,"9/13/2013","4054","FIRST NATIONAL BANK",3085764,2338335,"FAILURE"
57041,"BRIDGEPORT, CT",9211,"9/13/2013","4055","THE COMMUNITY'S BANK",26368,25715,"FAILURE"
14794,"GRACEVILLE, FL",5849,"10/30/2013","4056","BANK OF JACKSON COUNTY",24724,24591,"FAILURE"
57431,"THE WOODLANDS, TX",14203,"12/13/2013","4057","TEXAS COMMUNITY BANK, NATIONAL ASSOCIATION",159257,142640,"FAILURE"
5732,"WEST CHICAGO, IL",1530,"1/17/2014","4058","DUPAGE NATIONAL BANK",53524,51878,"FAILURE"
17967,"EL RENO, OK",93335,"1/24/2014","4059","THE  BANK OF UNION",317172,315843,"FAILURE"
34296,"BOISE, ID",3487,"1/31/2014","4060","SYRINGA BANK",153361,145813,"FAILURE"
35096,"STERLING, VA",10940,"2/28/2014","4061","MILLENNIUM BANK, NATIONAL ASSOCIATION",130305,121704,"FAILURE"
58531,"HORSHAM, PA",8956,"2/28/2014","4062","VANTAGE POINT BANK",63453,62472,"FAILURE"
15062,"FAIRFAX, SC",22149,"4/25/2014","4063","ALLENDALE COUNTY BANK",49498,49356,"FAILURE"
57866,"BERWYN, IL",21715,"5/16/2014","4064","AZTECAMERICA BANK",66309,65031,"FAILURE"
32284,"CINCINNATI, OH",7224,"5/23/2014","4065","COLUMBIA SAVINGS BANK",36484,29538,"FAILURE"
