"CERT","CITYST","COST","FAILDATE","ID","NAME","QBFASSET","QBFDEP","RESTYPE"
4754,"PAOLA, KS",134593,"3/20/2009","3613","TEAMBANK, N.A.",669830,532520,"FAILURE"
22238,"ATLANTA, GA",288415,"3/27/2009","3614","OMNI NATIONAL BANK",979585,813205,"FAILURE"
34639,"WILMINGTON, NC",118565,"4/10/2009","3615","CAPE FEAR BANK",492418,402820,"FAILURE"
34881,"GREELEY, CO",913432,"4/10/2009","3616","NEW FRONTIER BANK",1774588,1496347,"FAILURE"
8266,"SUGAR CREEK, MO",44669,"4/17/2009","3617","AMERICAN STERLING BANK",166456,170946,"FAILURE"
33824,"ELKO, NV",20023,"4/17/2009","3618","GREAT BASIN BANK OF NEVADA",238940,220834,"FAILURE"
57943,"KENNESAW, GA",32820,"4/24/2009","3619","AMERICAN SOUTHERN BANK",105950,105940,"FAILURE"
32069,"CALABASAS, CA",8430,"4/24/2009","3620","FIRST BANK OF BEVERLY HILLS",1260354,866492,"FAILURE"
34396,"KETCHUM, ID",109230,"4/24/2009","3621","FIRST BANK OF IDAHO, FSB",490656,370580,"FAILURE"
34369,"FARMINGTON HILLS, MI",48551,"4/24/2009","3622","MICHIGAN HERITAGE BANK",167710,149065,"FAILURE"
35461,"LAYTON, UT",114332,"5/1/2009","3623","AMERICA WEST BANK",281564,286040,"FAILURE"
57563,"RIDGEWOOD, NJ",18187,"5/1/2009","3624","CITIZENS COMMUNITY BANK",40657,40664,"FAILURE"
26535,"ATLANTA, GA",639419,"5/1/2009","3625","SILVERTON BANK, NATIONAL ASSOCIATION",4157246,3314928,"FAILURE"
34843,"BREMERTON, WA",81050,"5/8/2009","3626","WESTSOUND BANK",334608,304464,"FAILURE"
32247,"CORAL GABLES, FL",5228684,"5/21/2009","3627","BANKUNITED, FSB",13111463,8775985,"FAILURE"
5757,"MACOMB, IL",30402,"5/22/2009","3628","CITIZENS NATIONAL BANK",438560,393635,"FAILURE"
35175,"CHAMPAIGN, IL",92681,"5/22/2009","3629","STRATEGIC CAPITAL BANK",546576,479384,"FAILURE"
17309,"LINCOLNWOOD, IL",70928,"6/5/2009","3630","BANK OF LINCOLNWOOD",212718,209285,"FAILURE"
27837,"WILMINGTON, NC",287345,"6/19/2009","3631","COOPERATIVE BANK",966778,768479,"FAILURE"
4614,"ANTHONY, KS",33230,"6/19/2009","3632","FIRST NATIONAL BANK OF ANTHONY",156954,142551,"FAILURE"
35251,"FAYETTEVILLE, GA",136636,"6/19/2009","3633","SOUTHERN COMMUNITY BANK",371695,297962,"FAILURE"
57436,"VILLA RICA, GA",71712,"6/26/2009","3634","COMMUNITY BANK OF WEST GEORGIA",201222,189398,"FAILURE"
9744,"PINE CITY, MN",24010,"6/26/2009","3635","HORIZON BANK",84763,69254,"FAILURE"
57893,"IRVINE, CA",32168,"6/26/2009","3636","METROPACIFIC BANK",75316,70078,"FAILURE"
57332,"LOS ANGELES, CA",45309,"6/26/2009","3637","MIRAE BANK",480619,409951,"FAILURE"
35285,"NEWNAN, GA",80745,"6/26/2009","3638","NEIGHBORHOOD COMMUNITY BANK",212616,190070,"FAILURE"
18390,"WORTH, IL",129512,"7/2/2009","3639","FOUNDERS BANK",889172,832160,"FAILURE"
57667,"DALLAS, TX",52700,"7/2/2009","3640","MILLENNIUM STATE BANK OF TEXAS",118601,115478,"FAILURE"
15302,"OREGON, IL",18558,"7/2/2009","3641","ROCK RIVER BANK",74808,74896,"FAILURE"
9262,"ELIZABETH, IL",9832,"7/2/2009","3642","THE ELIZABETH STATE BANK",55027,48131,"FAILURE"
3644,"DANVILLE, IL",24202,"7/2/2009","3643","THE FIRST NATIONAL BANK OF DANVILLE",148218,140185,"FAILURE"
11710,"WINCHESTER, IL",8030,"7/2/2009","3644","THE FIRST STATE BANK OF WINCHESTER",30073,30806,"FAILURE"
12093,"CLINTON, IL",14315,"7/2/2009","3645","THE JOHN WARNER BANK",69609,65179,"FAILURE"
22754,"THERMOPOLIS, WY",32543,"7/10/2009","3646","BANK OF WYOMING",70188,66598,"FAILURE"
34103,"SIOUX FALLS, SD",110201,"7/17/2009","3647","BANKFIRST",210844,232203,"FAILURE"
34594,"WINDER, GA",37998,"7/17/2009","3648","FIRST PIEDMONT BANK",114113,108499,"FAILURE"
34341,"TEMECULA, CA",227400,"7/17/2009","3649","TEMECULA VALLEY BANK",1396622,1276287,"FAILURE"
23556,"RANCHO CUCAMONGA, CA",278591,"7/17/2009","3650","VINEYARD BANK, NATIONAL ASSOCIATION",1638378,1526186,"FAILURE"
27367,"MACON, GA",414269,"7/24/2009","3651","SECURITY BANK OF BIBB COUNTY",943744,831437,"FAILURE"
57346,"SUWANNEE, GA",193409,"7/24/2009","3652","SECURITY BANK OF GWINNETT COUNTY",259182,256578,"FAILURE"
27048,"PERRY, GA",50980,"7/24/2009","3653","SECURITY BANK OF HOUSTON COUNTY",371624,313155,"FAILURE"
8486,"GRAY, GA",98201,"7/24/2009","3654","SECURITY BANK OF JONES COUNTY",432712,375238,"FAILURE"
57430,"ALPHARETTA, GA",49000,"7/24/2009","3655","SECURITY BANK OF NORTH FULTON",190564,179523,"FAILURE"
57105,"WOODSTOCK, GA",102031,"7/24/2009","3656","SECURITY BANK OF NORTH METRO",184184,182413,"FAILURE"
58065,"WILLIAMSVILLE, NY",7875,"7/24/2009","3657","WATERFORD VILLAGE BANK",55707,56145,"FAILURE"
34270,"ELIZABTH, NJ",20048,"7/31/2009","3658","FIRST BANKAMERICANO",163372,155463,"FAILURE"
9873,"ALTUS, OK",25969,"7/31/2009","3659","FIRST STATE BANK OF ALTUS",90867,98161,"FAILURE"
57604,"JUPITER, FL",36473,"7/31/2009","3660","INTEGRITY BANK",105298,98511,"FAILURE"
18659,"HARVEY, IL",793841,"7/31/2009","3661","MUTUAL BANK",1595657,1546525,"FAILURE"
32288,"WEST CHESTER, OH",61523,"7/31/2009","3662","PEOPLES COMMUNITY BANK",606153,538787,"FAILURE"
23268,"PRINEVILLE, OR",73567,"8/7/2009","3663","COMMUNITY FIRST BANK",199508,180691,"FAILURE"
27183,"VENICE, FL",25369,"8/7/2009","3664","COMMUNITY NATIONAL BANK OF SARASOTA COUNTY",92528,92352,"FAILURE"
27364,"SARASOTA, FL",119466,"8/7/2009","3665","FIRST STATE BANK",447667,394701,"FAILURE"
9609,"MONTGOMERY, AL",2368291,"8/14/2009","3666","COLONIAL BANK",25455112,20072099,"FAILURE"
57645,"PHOENIX, AZ",26760,"8/14/2009","3667","COMMUNITY BANK OF ARIZONA",158517,143834,"FAILURE"
34043,"LAS VEGAS, NV",557962,"8/14/2009","3668","COMMUNITY BANK OF NEVADA",1397798,1372744,"FAILURE"
31559,"PITTSBURGH, PA",8352,"8/14/2009","3669","DWELLING HOUSE SAVINGS AND LOAN",12947,12984,"FAILURE"
34485,"GILBERT, AZ",51989,"8/14/2009","3670","UNION BANK, NATIONAL ASSOCIATION",119529,110362,"FAILURE"
22130,"BIRMINGHAM, AL",126332,"8/21/2009","3671","CAPITALSOUTH BANK",586586,539422,"FAILURE"
34682,"ATLANTA, GA",49948,"8/21/2009","3672","EBANK",144688,131510,"FAILURE"
57702,"NEWNAN, GA",66684,"8/21/2009","3673","FIRST COWETA",163755,154903,"FAILURE"
32618,"AUSTIN, TX",0,"8/21/2009","3674","GUARANTY BANK",13464352,11984112,"FAILURE"
27197,"VENTURA, CA",234069,"8/28/2009","3675","AFFINITY BANK",1211431,905593,"FAILURE"
28312,"BALTIMORE, MD",46897,"8/28/2009","3676","BRADFORD BANK",451888,382159,"FAILURE"
1909,"FOREST LAKE, MN",89930,"8/28/2009","3677","MAINSTREET BANK",458533,432818,"FAILURE"
25231,"KANSAS CITY, MO",7548,"9/4/2009","3678","FIRST BANK OF KANSAS CITY",15723,14479,"FAILURE"
34875,"FLAGSTAFF, AZ",49833,"9/4/2009","3679","FIRST STATE BANK",107235,95734,"FAILURE"
20203,"OAK FOREST, IL",56911,"9/4/2009","3680","INBANK",209848,209211,"FAILURE"
35030,"ROLLING MEADOWS, IL",0,"9/4/2009","3681","PLATINUM COMMUNITY BANK",147961,110186,"FAILURE"
27732,"SIOUX CITY, IA",101576,"9/4/2009","3682","VANTUS BANK",503643,394369,"FAILURE"
57736,"WOODBURY, MN",24597,"9/11/2009","3683","BRICKWELL COMMUNITY BANK",72576,64981,"FAILURE"
13693,"CHICAGO, IL",0,"9/11/2009","3684","CORUS BANK, N.A.",7003321,7060693,"FAILURE"
22868,"LACEY, WA",201128,"9/11/2009","3685","VENTURE BANK",968385,917729,"FAILURE"
10100,"COLUMBUS, IN",755962,"9/18/2009","3686","IRWIN UNION BANK AND TRUST COMPANY",2839747,2254025,"FAILURE"
57068,"LOUISVILLE, KY",114006,"9/18/2009","3687","IRWIN UNION BANK, FSB",518151,462611,"FAILURE"
57151,"ATLANTA, GA",960820,"9/25/2009","3688","GEORGIAN BANK",2230230,1960123,"FAILURE"
11416,"SPRING GROVE, MN",18876,"10/2/2009","3689","JENNINGS STATE BANK",52347,50801,"FAILURE"
57263,"PUEBLO, CO",8323,"10/2/2009","3690","SOUTHERN COLORADO NATIONAL BANK",37142,29568,"FAILURE"
34824,"WARREN, MI",217487,"10/2/2009","3691","WARREN BANK",504816,467767,"FAILURE"
23266,"BAKERSFIELD, CA",79080,"10/16/2009","3692","SAN JOAQUIN BANK",766359,626359,"FAILURE"
57794,"LAWRENCEVILLE, GA",44018,"10/23/2009","3693","AMERICAN UNITED BANK",110094,102386,"FAILURE"
18321,"RACINE, WI",99463,"10/23/2009","3694","BANK OF ELMWOOD",327444,272782,"FAILURE"
35038,"WESTMONT, IL",85319,"10/23/2009","3695","FIRST DUPAGE BANK",262093,253992,"FAILURE"
35044,"BRADENTON, FL",62112,"10/23/2009","3696","FLAGSHIP NATIONAL BANK",177563,170118,"FAILURE"
58336,"NAPLES, FL",42976,"10/23/2009","3697","HILLCREST BANK FLORIDA",82774,83254,"FAILURE"
57959,"NAPLES, FL",31809,"10/23/2009","3698","PARTNERS BANK",65498,64798,"FAILURE"
57525,"OSTEGO, MN",23476,"10/23/2009","3699","RIVERVIEW COMMUNITY BANK",99057,75012,"FAILURE"
32218,"PHOENIX, AZ",11741,"10/30/2009","3700","BANK USA, NA",213205,170685,"FAILURE"
34659,"LOS ANGELES, CA",182284,"10/30/2009","3701","CALIFORNIA NATIONAL BANK",7781100,6145207,"FAILURE"
25222,"TEAGUE, TX",5846,"10/30/2009","3702","CITIZENS NATIONAL BANK",118236,97590,"FAILURE"
35291,"LEMONT, IL",25945,"10/30/2009","3703","COMMUNITY BANK OF LEMONT",81843,80688,"FAILURE"
33782,"MADISONVILLE, TX",0,"10/30/2009","3704","MADISONVILLE STATE BANK",256330,224653,"FAILURE"
18776,"HOUSTON, TX",12000,"10/30/2009","3705","NORTH HOUSTON BANK",325474,307166,"FAILURE"
30006,"SAN FRANCISCO, CA",58691,"10/30/2009","3706","PACIFIC NATIONAL BANK",2319263,1757986,"FAILURE"
11677,"CHICAGO, IL",3048,"10/30/2009","3707","PARK NATIONAL BANK",4680881,3716626,"FAILURE"
23594,"SAN DIEGO, CA",36479,"10/30/2009","3708","SAN DIEGO NATIONAL BANK",3594544,2891576,"FAILURE"
19450,"ST LOUIS, MO",11648,"11/6/2009","3709","GATEWAY BANK OF ST LOUIS",26882,27534,"FAILURE"
30329,"DETROIT, MI",8612,"11/6/2009","3710","HOME FEDERAL SAVINGS BANK",12994,12730,"FAILURE"
35074,"OAKDALE, MN",31685,"11/6/2009","3711","PROSPERAN BANK",197442,182794,"FAILURE"
32469,"SAN FRANCISCO, CA",572641,"11/6/2009","3712","UNITED COMMERCIAL BANK",10895336,7653666,"FAILURE"
22286,"SPARTA, GA",60895,"11/6/2009","3713","UNITED SECURITY BANK",153639,149616,"FAILURE"
32267,"SARASOTA, FL",306877,"11/13/2009","3714","CENTURY BANK, A FEDERAL SAVINGS BANK",755923,659742,"FAILURE"
22427,"NAPLES, FL",713129,"11/13/2009","3715","ORION BANK",2612515,2169446,"FAILURE"
57914,"SAN CLEMENTE, CA",33470,"11/13/2009","3716","PACIFIC COAST NATIONAL BANK",131418,128867,"FAILURE"
58016,"FORT MYERS, FL",32236,"11/20/2009","3717","COMMERCE BANK OF SOUTHWEST FLORIDA",70997,72821,"FAILURE"
29776,"CLEVELAND, OH",1686715,"12/4/2009","3718","AMTRUST BANK",11438990,8558609,"FAILURE"
10440,"AURORA, IL",79321,"12/4/2009","3719","BENCHMARK BANK",173062,182760,"FAILURE"
26290,"NORCROSS, GA",34282,"12/4/2009","3720","FIRST SECURITY NATIONAL BANK",127455,121645,"FAILURE"
32583,"RESTON, VA",26610,"12/4/2009","3721","GREATER ATLANTIC BANK",203262,179248,"FAILURE"
34663,"ATLANTA, GA",310552,"12/4/2009","3722","THE BUCKHEAD COMMUNITY BANK",856236,813668,"FAILURE"
12080,"REIDSVILLE, GA",14705,"12/4/2009","3723","THE TATNALL BANK",49612,47100,"FAILURE"
22846,"MIAMI, FL",77977,"12/11/2009","3724","REPUBLIC FEDERAL BANK, N.A.",433011,352695,"FAILURE"
4731,"OVERLAND PARK, KS",93393,"12/11/2009","3725","SOLUTIONSBANK",511103,421271,"FAILURE"
58399,"MESA, AZ",15047,"12/11/2009","3726","VALLEY CAPITAL BANK, N.A.",40270,41312,"FAILURE"
1006,"NEW BALTIMORE, MI",68171,"12/18/2009","3727","CITIZENS STATE BANK",168551,157149,"FAILURE"
28536,"SANTA MONICA, CA",0,"12/18/2009","3728","FIRST FEDERAL BANK OF CALIFORNIA,  A FEDERAL SAVINGS BANK",6143903,4538607,"FAILURE"
26348,"LA JOLLA, CA",266567,"12/18/2009","3729","IMPERIAL CAPITAL BANK",4046888,2822300,"FAILURE"
26820,"SPRINGFIELD, IL",0,"12/18/2009","3730","INDEPENDENT BANKERS' BANK",585508,511473,"FAILURE"
32276,"IRONDALE, AL",311641,"12/18/2009","3731","NEW SOUTH FEDERAL SAVINGS BANK",1464127,1163916,"FAILURE"
32167,"PANAMA CITY, FL",597058,"12/18/2009","3732","PEOPLES FIRST COMMUNITY BANK",1795420,1684443,"FAILURE"
58315,"ATLANTA, GA",98837,"12/18/2009","3733","ROCKBRIDGE COMMERCIAL BANK",294024,291707,"FAILURE"
22977,"BELLINGHAM, WA",205488,"1/8/2010","3734","HORIZON BANK",1188956,1049063,"FAILURE"
1252,"KAYSVILLE, UT",106769,"1/15/2010","3735","BARNES BANKING COMPANY",709171,697109,"FAILURE"
17522,"ST. STEPHEN, MN",7707,"1/15/2010","3736","ST. STEPHEN STATE BANK",22895,23912,"FAILURE"
34705,"ANTIOCH, IL",23289,"1/15/2010","3737","TOWN COMMUNITY BANK AND TRUST",70758,68323,"FAILURE"
8265,"LEETON, MO",7092,"1/22/2010","3738","BANK OF LEETON",20128,20335,"FAILURE"
32498,"SANTA FE, NM",127197,"1/22/2010","3739","CHARTER BANK",1201922,859933,"FAILURE"
22469,"THE DALLES, OR",54899,"1/22/2010","3740","COLUMBIA RIVER BANK",955112,908132,"FAILURE"
20501,"SEATTLE, WA",43422,"1/22/2010","3741","EVERGREEN BANK",395980,340378,"FAILURE"
57147,"MIAMI, FL",84454,"1/22/2010","3742","PREMIER AMERICAN BANK",299225,285554,"FAILURE"
16730,"BAINBRIDGE ISLAND, WA",28352,"1/29/2010","3743","AMERICAN MARINE BANK",329246,287443,"FAILURE"
5702,"CORNELIA, GA",477153,"1/29/2010","3744","COMMUNITY BANK & TRUST",1181717,1067957,"FAILURE"
16480,"CARROLLTON, GA",203881,"1/29/2010","3745","FIRST NATIONAL BANK OF GEORGIA",840633,780196,"FAILURE"
23011,"LOS ANGELES, CA",224134,"1/29/2010","3746","FIRST REGIONAL BANK",2082684,1664450,"FAILURE"
5672,"IMMOKALEE, FL",308984,"1/29/2010","3747","FLORIDA COMMUNITY BANK",835701,776556,"FAILURE"
16133,"HALLOCK, MN",1063,"1/29/2010","3748","MARSHALL BANK, NATIONAL ASSOCIATION",58566,55662,"FAILURE"
15448,"HANCOCK, MN",4521,"2/5/2010","3749","1ST AMERICAN STATE BANK OF MINNESOTA",18155,16327,"FAILURE"
29952,"ORLAND PARK, IL",118852,"2/19/2010","3750","GEORGE WASHINGTON SAVINGS BANK",413673,395310,"FAILURE"
32423,"LA JOLLA, CA",560147,"2/19/2010","3751","LA JOLLA BANK, FSB",3646071,2799362,"FAILURE"
57586,"MARCO ISLAND, FL",25614,"2/19/2010","3752","MARCO COMMUNITY BANK",119578,117097,"FAILURE"
3287,"LA COSTE, TX",5709,"2/19/2010","3753","THE LA COSTE NATIONAL BANK",53936,49275,"FAILURE"
58352,"CARSON CITY, NV",14451,"2/26/2010","3754","CARSON RIVER COMMUNITY BANK",51095,50024,"FAILURE"
38129,"TACOMA, WA",2752,"2/26/2010","3755","RAINIER PACIFIC BANK",717806,446192,"FAILURE"
9268,"NORMAL, IL",18737,"3/5/2010","3756","BANK OF ILLINOIS",211711,198487,"FAILURE"
34430,"OGDEN, UT",70515,"3/5/2010","3757","CENTENNIAL BANK",212839,205076,"FAILURE"
27126,"BOCA RATON, FL",122301,"3/5/2010","3758","SUN AMERICAN BANK",535724,443481,"FAILURE"
34976,"GERMANTOWN, MD",11322,"3/5/2010","3759","WATERFIELD BANK",155566,156188,"FAILURE"
58071,"NEW YORK, NY",18407,"3/11/2010","3760","LIBERTYPOINTE BANK",216500,209477,"FAILURE"
58182,"ORLANDO, FL",76501,"3/12/2010","3761","OLD SOUTHERN BANK",336390,319746,"FAILURE"
29561,"COVINGTON, LA",26124,"3/12/2010","3762","STATEWIDE BANK",243215,207821,"FAILURE"
27096,"NEW YORK, NY",76368,"3/12/2010","3763","THE PARK AVENUE BANK",520146,494505,"FAILURE"
33535,"DRAPER, UT",521525,"3/19/2010","3764","ADVANTA BANK CORP.",1525931,1519471,"FAILURE"
18806,"PARMA, OH",14960,"3/19/2010","3765","AMERICAN NATIONAL BANK",70318,66752,"FAILURE"
33989,"ELLIJAY, GA",456455,"3/19/2010","3766","APPALACHIAN COMMUNITY BANK",1010075,917575,"FAILURE"
10054,"HIAWASSEE, GA",107263,"3/19/2010","3767","BANK OF HIAWASSEE",377779,339597,"FAILURE"
58104,"DULUTH, GA",37707,"3/19/2010","3768","CENTURY SECURITY BANK",96535,93967,"FAILURE"
24957,"FORT DEPOSIT, AL",11725,"3/19/2010","3769","FIRST LOWNDES BANK",137175,131117,"FAILURE"
8221,"AURORA, MN",7026,"3/19/2010","3770","STATE BANK OF AURORA",28159,27801,"FAILURE"
57060,"PHOENIX, AZ",108862,"3/26/2010","3771","DESERT HILLS BANK",496552,426473,"FAILURE"
34684,"KEY WEST, FL",16210,"3/26/2010","3772","KEY WEST BANK",88031,67662,"FAILURE"
57399,"CARROLLTON, GA",164026,"3/26/2010","3773","MCINTOSH COMMERCIAL BANK",363405,343339,"FAILURE"
34678,"CARTERSVILLE, GA",73589,"3/26/2010","3774","UNITY NATIONAL BANK",300590,264286,"FAILURE"
34242,"MYRTLE BEACH, SC",164585,"4/9/2010","3775","BEACH FIRST NATIONAL BANK",590024,521138,"FAILURE"
57724,"CLERMONT, FL",16404,"4/16/2010","3776","AMERICANFIRST BANK",104034,100070,"FAILURE"
26619,"LOWELL, MA",18261,"4/16/2010","3777","BUTLER BANK",245534,227420,"FAILURE"
21521,"LYNNWOOD, WA",154993,"4/16/2010","3778","CITY BANK",981913,919606,"FAILURE"
28886,"PALATKA, FL",11969,"4/16/2010","3779","FIRST FEDERAL BANK OF NORTH FLORIDA",440122,369617,"FAILURE"
23876,"OAKLAND, CA",22715,"4/16/2010","3780","INNOVATIVE BANK",266816,223164,"FAILURE"
34878,"STERLING HEIGHTS, MI",20977,"4/16/2010","3781","LAKESIDE COMMUNITY BANK",49173,48622,"FAILURE"
24067,"FORT PIERCE, FL",0,"4/16/2010","3782","RIVERSIDE NATIONAL BANK OF FLORIDA",3393818,2724475,"FAILURE"
33493,"SAN RAFAEL, CA",0,"4/16/2010","3783","TAMALPAIS BANK",611504,457206,"FAILURE"
3735,"ROCKFORD, IL",11125,"4/23/2010","3784","AMCORE BANK, NATIONAL ASSOCIATION",3066240,2743485,"FAILURE"
22853,"CHICAGO, IL",377438,"4/23/2010","3785","BROADWAY BANK",1059194,1023421,"FAILURE"
34658,"CHICAGO, IL",41327,"4/23/2010","3786","CITIZENS BANK & TRUST COMPANY OF CHICAGO",73490,72772,"FAILURE"
30600,"CHICAGO, IL",37917,"4/23/2010","3787","LINCOLN PARK SAVINGS BANK",194618,162627,"FAILURE"
34821,"CHICAGO, IL",132056,"4/23/2010","3788","NEW CENTURY BANK",447239,438999,"FAILURE"
10888,"PEOTONE, IL",45596,"4/23/2010","3789","PEOTONE BANK AND TRUST COMPANY",130165,124676,"FAILURE"
58429,"NAPERVILLE, IL",189658,"4/23/2010","3790","WHEATLAND BANK",441694,448917,"FAILURE"
17792,"BUTLER, MO",8620,"4/30/2010","3791","BC NATIONAL BANKS",52204,43635,"FAILURE"
30005,"PORT HURON, MI",340615,"4/30/2010","3792","CF BANCORP",1599122,1418445,"FAILURE"
58362,"CREVE COEUR, MO",57091,"4/30/2010","3793","CHAMPION BANK",195510,162816,"FAILURE"
27150,"SAN JUAN, PR",539124,"4/30/2010","3794","EUROBANK",2453138,1861350,"FAILURE"
22710,"EVERETT, WA",453920,"4/30/2010","3795","FRONTIER BANK",3250734,2846886,"FAILURE"
32185,"HATO REY, PR",978999,"4/30/2010","3796","R-G PREMIER BANK OF PUERTO RICO",5681177,4220108,"FAILURE"
31027,"MAYAGUEZ, PR",2174167,"4/30/2010","3797","WESTERNBANK PUERTO RICO",10797345,8420357,"FAILURE"
35517,"SAN DIEGO, CA",6342,"5/7/2010","3798","1st PACIFIC BANK OF CALIFORNIA",335798,291173,"FAILURE"
16476,"CHAMPLIN, MN",7916,"5/7/2010","3799","ACCESS BANK",31996,31969,"FAILURE"
14246,"BONIFAY, FL",65887,"5/7/2010","3800","THE BANK OF BONIFAY",242871,230190,"FAILURE"
57697,"MESA, AZ",44322,"5/7/2010","3801","TOWNE BANK OF ARIZONA",120246,113243,"FAILURE"
18117,"ELMWOOD PARK, IL",0,"5/14/2010","3802","MIDWEST BANK AND TRUST COMPANY",3172915,2420738,"FAILURE"
35586,"PLYMOUTH, MI",23558,"5/14/2010","3803","NEW LIBERTY BANK",111239,101884,"FAILURE"
35114,"SAINT MARYS, GA",36321,"5/14/2010","3804","SATILLA COMMUNITY BANK",135688,134005,"FAILURE"
34255,"SPRINGFIELD, MO",25580,"5/14/2010","3805","SOUTHWEST COMMUNITY BANK",100659,102463,"FAILURE"
57735,"ST. PAUL, MN",8410,"5/21/2010","3806","PINEHURST BANK",61215,58288,"FAILURE"
57360,"FORT LAUDERDALE, FL",60470,"5/28/2010","3807","BANK OF FLORIDA - SOUTHEAST",595318,531752,"FAILURE"
35106,"NAPLES, FL",87638,"5/28/2010","3808","BANK OF FLORIDA - SOUTHWEST",640894,559897,"FAILURE"
57814,"TAMPA BAY, FL",30582,"5/28/2010","3809","BANK OF FLORIDA - TAMPA BAY",240513,224024,"FAILURE"
57315,"GRANITE BAY, CA",13175,"5/28/2010","3810","GRANITE COMMUNITY BANK, NATIONAL ASSOCIATION",102913,94252,"FAILURE"
34785,"LAS VEGAS, NV",115960,"5/28/2010","3811","SUN WEST BANK",360662,353943,"FAILURE"
31813,"ARCOLA, IL",11534,"6/4/2010","3812","ARCOLA HOMESTEAD SAVINGS BANK",17028,18092,"FAILURE"
15814,"ROSEDALE, MS",18085,"6/4/2010","3813","FIRST NATIONAL BANK",60449,63483,"FAILURE"
29341,"LINCOLN, NE",0,"6/4/2010","3814","TIERONE BANK",2824737,2185817,"FAILURE"
32955,"SEATTLE, WA",95151,"6/11/2010","3815","WASHINGTON FIRST INTERNATIONAL BANK",520887,441362,"FAILURE"
57110,"RENO, NV",70039,"6/18/2010","3816","NEVADA SECURITY BANK",492491,479759,"FAILURE"
34152,"SAVANNAH, GA",78167,"6/25/2010","3817","FIRST NATIONAL BANK",252520,231857,"FAILURE"
35279,"ALBUQUERQUE, NM",28392,"6/25/2010","3818","HIGH DESERT STATE BANK",80343,80985,"FAILURE"
26563,"ENGLEWOOD, FL",184045,"6/25/2010","3819","PENINSULA BANK",630179,580140,"FAILURE"
35462,"BALTIMORE, MD",21144,"7/9/2010","3820","BAY NATIONAL BANK",217743,212612,"FAILURE"
11636,"BLACKWELL, OK",65822,"7/9/2010","3821","HOME NATIONAL BANK",585445,514038,"FAILURE"
32456,"BALTIMORE, MD",3694,"7/9/2010","3822","IDEAL FEDERAL SAVINGS BANK",6177,5803,"FAILURE"
58072,"PORT CHESTER, NY",63537,"7/9/2010","3823","USA BANK",190678,188644,"FAILURE"
35383,"SPARTANBURG, SC",68274,"7/16/2010","3824","FIRST NATIONAL BANK OF THE SOUTH",619374,550891,"FAILURE"
28136,"HASTINGS, MI",12789,"7/16/2010","3825","MAINSTREET SAVINGS BANK, FSB",96584,63291,"FAILURE"
25172,"MIAMI, FL",64179,"7/16/2010","3826","METRO BANK OF DADE COUNTY",399441,375522,"FAILURE"
28864,"CLEWISTON, FL",25533,"7/16/2010","3827","OLDE CYPRESS COMMUNITY BANK",161355,157997,"FAILURE"
32280,"AVENTURA, FL",28658,"7/16/2010","3828","TURNBERRY BANK",240251,179169,"FAILURE"
32571,"BLUFFTON, SC",107349,"7/16/2010","3829","WOODLANDS BANK",382803,364808,"FAILURE"
34486,"NEW PRAGUE, MN",18495,"7/23/2010","3830","COMMUNITY SECURITY BANK",100649,95100,"FAILURE"
27559,"JASPER, GA",303698,"7/23/2010","3831","CRESCENT BANK AND TRUST COMPANY",970235,932809,"FAILURE"
23181,"CAVE JUNCTION, OR",28068,"7/23/2010","3832","HOME VALLEY BANK",250488,227935,"FAILURE"
35434,"LAS VEGAS, NV",86297,"7/23/2010","3833","SOUTHWESTUSA BANK",203690,183985,"FAILURE"
32536,"LANTANA, FL",41792,"7/23/2010","3834","STERLING BANK",354966,329541,"FAILURE"
10506,"SYLVAN GROVE, KS",6651,"7/23/2010","3835","THUNDER BANK",28248,27048,"FAILURE"
17837,"KINGSTREE, SC",2425,"7/23/2010","3836","WILLIAMSBURG FIRST NATIONAL BANK",130411,126993,"FAILURE"
57669,"PORT SAINT JOE, FL",12479,"7/30/2010","3837","BAYSIDE SAVINGS BANK",64344,52720,"FAILURE"
9619,"PANAMA CITY BEACH, FL",116866,"7/30/2010","3838","COASTAL COMMUNITY BANK",377469,370016,"FAILURE"
31964,"EUGENE, OR",50954,"7/30/2010","3839","LIBERTYBANK",714574,692670,"FAILURE"
57658,"ACWORTH, GA",33627,"7/30/2010","3840","NORTHWEST BANK & TRUST",160763,155531,"FAILURE"
22643,"LONGVIEW, WA",31336,"7/30/2010","3841","THE COWLITZ BANK",489019,474742,"FAILURE"
34231,"CHICAGO, IL",67728,"8/6/2010","3842","RAVENSWOOD BANK",264628,269448,"FAILURE"
17599,"PALOS HEIGHTS, IL",66962,"8/13/2010","3843","PALOS BANK AND TRUST COMPANY",493391,467784,"FAILURE"
33219,"CHICO, CA",1663,"8/20/2010","3844","BUTTE COMMUNITY BANK",498751,471256,"FAILURE"
25266,"BARTOW, FL",9170,"8/20/2010","3845","COMMUNITY NATIONAL BANK AT BARTOW",67918,63708,"FAILURE"
31623,"MARTINSVILLE, VA",4746,"8/20/2010","3846","IMPERIAL SAVINGS AND LOAN ASSOCIATION",9448,10090,"FAILURE"
27344,"OCALA, FL",11982,"8/20/2010","3847","INDEPENDENT NATIONAL BANK",156218,141877,"FAILURE"
32165,"SOLVANG, CA",3434,"8/20/2010","3848","LOS PADRES BANK",866459,770899,"FAILURE"
