date,adjclose
2007-01-03,145.97549438476562
2007-01-04,144.6155242919922
2007-01-05,144.76097106933594
2007-01-08,148.16458129882812
2007-01-09,148.41908264160156
2007-01-10,151.34996032714844
2007-01-11,154.0917205810547
2007-01-12,155.626220703125
2007-01-16,155.33535766601562
2007-01-17,155.07351684570312
2007-01-18,152.49171447753906
2007-01-19,153.1910400390625
2007-01-22,155.14329528808594
2007-01-23,154.90296936035156
2007-01-24,160.33741760253906
2007-01-25,155.21624755859375
2007-01-26,155.52947998046875
2007-01-29,153.73736572265625
2007-01-30,152.09100341796875
2007-01-31,154.5532989501953
2007-02-01,154.4368133544922
2007-02-02,155.47845458984375
2007-02-05,154.83738708496094
2007-02-06,156.3672332763672
2007-02-07,155.56581115722656
2007-02-08,155.82083129882812
2007-02-09,155.36915588378906
2007-02-12,153.802978515625
2007-02-13,154.82284545898438
2007-02-14,158.3705291748047
2007-02-15,157.947998046875
2007-02-16,158.02081298828125
2007-02-20,160.94932556152344
2007-02-21,160.37380981445312
2007-02-22,159.5142059326172
2007-02-23,157.71484375
2007-02-26,155.8937530517578
2007-02-27,142.78114318847656
2007-02-28,146.96990966796875
2007-03-01,145.4473876953125
2007-03-02,142.54075622558594
2007-03-05,138.4103240966797
2007-03-06,143.7790985107422
2007-03-07,142.48248291015625
2007-03-08,145.65135192871094
2007-03-09,146.93350219726562
2007-03-12,147.58917236328125
2007-03-13,144.98841857910156
2007-03-14,145.8043670654297
2007-03-15,146.34335327148438
2007-03-16,144.96653747558594
2007-03-19,147.4724884033203
2007-03-20,148.60897827148438
2007-03-21,153.67181396484375
2007-03-22,153.03807067871094
2007-03-23,154.3566131591797
2007-03-26,154.24008178710938
2007-03-27,152.88504028320312
2007-03-28,150.61952209472656
2007-03-29,150.94009399414062
2007-03-30,150.52490234375
2007-04-02,149.8109588623047
2007-04-03,152.7976837158203
2007-04-04,152.0982666015625
2007-04-05,151.4718780517578
2007-04-09,152.20758056640625
2007-04-10,152.28773498535156
2007-04-11,150.7433624267578
2007-04-12,150.83082580566406
2007-04-13,150.43008422851562
2007-04-16,156.27249145507812
2007-04-17,156.54930114746094
2007-04-18,157.8970184326172
2007-04-19,159.747314453125
2007-04-20,160.52073669433594
2007-04-23,162.2864532470703
2007-04-24,161.04611206054688
2007-04-25,164.6067352294922
2007-04-26,164.03025817871094
2007-04-27,163.64361572265625
2007-04-30,159.50662231445312
2007-05-01,159.48463439941406
2007-05-02,160.14862060546875
2007-05-03,161.65895080566406
2007-05-04,165.876220703125
2007-05-07,165.7887420654297
2007-05-08,164.13246154785156
2007-05-09,165.3144989013672
2007-05-10,162.7826385498047
2007-05-11,165.9930419921875
2007-05-14,165.0299072265625
2007-05-15,163.716552734375
2007-05-16,165.70840454101562
2007-05-17,165.90553283691406
2007-05-18,168.06524658203125
2007-05-21,167.25534057617188
2007-05-22,168.33522033691406
2007-05-23,166.75189208984375
2007-05-24,164.6651153564453
2007-05-25,164.55564880371094
2007-05-29,166.678955078125
2007-05-30,169.27639770507812
2007-05-31,168.4154510498047
2007-06-01,168.33522033691406
2007-06-04,167.6055908203125
2007-06-05,167.3502197265625
2007-06-06,165.8836212158203
2007-06-07,160.55718994140625
2007-06-08,164.21275329589844
2007-06-11,165.7449951171875
2007-06-12,166.2484588623047
2007-06-13,170.47311401367188
2007-06-14,164.71617126464844
2007-06-15,165.03724670410156
2007-06-18,165.6063995361328
2007-06-19,167.43045043945312
2007-06-20,164.81832885742188
2007-06-21,165.5552520751953
2007-06-22,162.27188110351562
2007-06-25,158.1421356201172
2007-06-26,156.2669219970703
2007-06-27,160.03184509277344
2007-06-28,159.7619171142578
2007-06-29,158.14942932128906
2007-07-02,159.92245483398438
2007-07-03,163.84054565429688
2007-07-05,161.48385620117188
2007-07-06,163.17662048339844
2007-07-09,162.92857360839844
2007-07-10,158.39016723632812
2007-07-11,158.12750244140625
2007-07-12,160.7323455810547
2007-07-13,162.11123657226562
2007-07-16,160.81260681152344
2007-07-17,160.0830078125
2007-07-18,156.865234375
2007-07-19,154.45745849609375
2007-07-20,150.2620391845703
2007-07-23,149.6052703857422
2007-07-24,144.5781707763672
2007-07-25,148.233642578125
2007-07-26,142.3673095703125
2007-07-27,140.817626953125
2007-07-30,143.0763397216797
2007-07-31,137.66726684570312
2007-08-01,138.14971923828125
2007-08-02,137.0240478515625
2007-08-03,131.33718872070312
2007-08-06,137.26527404785156
2007-08-07,139.7943878173828
2007-08-08,141.29281616210938
2007-08-09,133.21575927734375
2007-08-10,131.93663024902344
2007-08-13,129.74380493164062
2007-08-14,124.07887268066406
2007-08-15,120.53376770019531
2007-08-16,124.15201568603516
2007-08-17,127.91639709472656
2007-08-20,126.27909851074219
2007-08-21,128.2672119140625
2007-08-22,130.0288848876953
2007-08-23,129.74380493164062
2007-08-24,131.37379455566406
2007-08-27,130.07269287109375
2007-08-28,124.95606231689453
2007-08-29,126.98079681396484
2007-08-30,125.2703628540039
2007-08-31,128.65463256835938
2007-09-04,132.1559600830078
2007-09-05,129.97032165527344
2007-09-06,130.9717559814453
2007-09-07,130.8255615234375
2007-09-10,134.2098846435547
2007-09-11,134.12945556640625
2007-09-12,133.4204864501953
2007-09-13,137.76229858398438
2007-09-14,139.31195068359375
2007-09-17,137.13365173339844
2007-09-18,146.55564880371094
2007-09-19,150.21038818359375
2007-09-20,148.7704315185547
2007-09-21,153.48513793945312
2007-09-24,153.81398010253906
2007-09-25,154.1575469970703
2007-09-26,156.869384765625
2007-09-27,158.4555206298828
2007-09-28,158.4263153076172
2007-10-01,162.98741149902344
2007-10-02,166.67135620117188
2007-10-03,166.1816864013672
2007-10-04,165.15834045410156
2007-10-05,167.0222930908203
2007-10-08,165.89662170410156
2007-10-09,174.84341430664062
2007-10-10,172.46060180664062
2007-10-11,167.39511108398438
2007-10-12,170.7208709716797
2007-10-15,167.63623046875
2007-10-16,164.3397216796875
2007-10-17,166.37901306152344
2007-10-18,166.5471954345703
2007-10-19,159.12075805664062
2007-10-22,162.402587890625
2007-10-23,163.5575408935547
2007-10-24,164.55165100097656
2007-10-25,165.9353485107422
2007-10-26,172.71449279785156
2007-10-29,178.49069213867188
2007-10-30,175.9430389404297
2007-10-31,181.49954223632812
2007-11-01,175.85511779785156
2007-11-02,168.08763122558594
2007-11-05,159.88095092773438
2007-11-06,163.37303161621094
2007-11-07,156.79884338378906
2007-11-08,153.6947784423828
2007-11-09,154.71237182617188
2007-11-12,157.1868896484375
2007-11-13,170.6060028076172
2007-11-14,170.8037567138672
2007-11-15,166.19886779785156
2007-11-16,164.90306091308594
2007-11-19,161.45492553710938
2007-11-20,159.21478271484375
2007-11-21,153.37269592285156
2007-11-23,158.48265075683594
2007-11-26,151.8719024658203
2007-11-27,156.17660522460938
2007-11-28,166.56488037109375
2007-11-29,164.26617431640625
2007-11-30,165.92068481445312
2007-12-03,166.10365295410156
2007-12-04,157.5602569580078
2007-12-05,159.78575134277344
2007-12-06,162.89712524414062
2007-12-07,159.51487731933594
2007-12-10,164.14163208007812
2007-12-11,154.58062744140625
2007-12-12,155.62750244140625
2007-12-13,152.6259002685547
2007-12-14,154.2292022705078
2007-12-17,152.73574829101562
2007-12-18,147.52325439453125
2007-12-19,149.46334838867188
2007-12-20,148.37254333496094
2007-12-21,153.44586181640625
2007-12-24,156.9012908935547
2007-12-26,158.63636779785156
2007-12-27,155.1663055419922
2007-12-28,155.15899658203125
2007-12-31,157.43577575683594
2008-01-02,151.98167419433594
2008-01-03,149.96107482910156
2008-01-04,146.36654663085938
2008-01-07,142.5597686767578
2008-01-08,138.73085021972656
2008-01-09,140.37808227539062
2008-01-10,144.1556854248047
2008-01-11,145.49537658691406
2008-01-14,147.62576293945312
2008-01-15,141.50547790527344
2008-01-16,144.587646484375
2008-01-17,139.81439208984375
2008-01-18,137.05438232421875
2008-01-22,139.60206604003906
2008-01-23,145.97119140625
2008-01-24,145.8321990966797
2008-01-25,140.34646606445312
2008-01-28,143.9254150390625
2008-01-29,143.7787322998047
2008-01-30,145.6121368408203
2008-01-31,146.34555053710938
2008-02-01,152.38119506835938
2008-02-04,147.26219177246094
2008-02-05,139.2390594482422
2008-02-06,137.26629638671875
2008-02-07,139.67913818359375
2008-02-08,137.19290161132812
2008-02-11,136.3129119873047
2008-02-12,132.48464965820312
2008-02-13,132.13995361328125
2008-02-14,129.48516845703125
2008-02-15,130.8419189453125
2008-02-19,127.46099090576172
2008-02-20,129.99118041992188
2008-02-21,128.46580505371094
2008-02-22,130.32850646972656
2008-02-25,130.07183837890625
2008-02-26,126.65433502197266
2008-02-27,132.5946807861328
2008-02-28,129.58782958984375
2008-02-29,124.40283966064453
2008-03-03,121.06600952148438
2008-03-04,119.98056030273438
2008-03-05,120.98535919189453
2008-03-06,116.35034942626953
2008-03-07,117.39176940917969
2008-03-10,114.09889221191406
2008-03-11,119.59191131591797
2008-03-12,119.54790496826172
2008-03-13,121.33001708984375
2008-03-14,115.03760528564453
2008-03-17,110.75473022460938
2008-03-18,128.77378845214844
2008-03-19,122.10010528564453
2008-03-20,131.73658752441406
2008-03-24,131.18661499023438
2008-03-25,131.73658752441406
2008-03-26,128.69309997558594
2008-03-27,123.31011199951172
2008-03-28,120.60398864746094
2008-03-31,121.29327392578125
2008-04-01,129.70513916015625
2008-04-02,129.7125701904297
2008-04-03,129.46311950683594
2008-04-04,128.63441467285156
2008-04-07,131.07664489746094
2008-04-08,131.20132446289062
2008-04-09,127.7104263305664
2008-04-10,125.07752990722656
2008-04-11,122.69413757324219
2008-04-14,119.97318267822266
2008-04-15,120.42056274414062
2008-04-16,123.97753143310547
2008-04-17,126.21428680419922
2008-04-18,131.9566192626953
2008-04-21,132.30130004882812
2008-04-22,131.83193969726562
2008-04-23,131.53131103515625
2008-04-24,138.454345703125
2008-04-25,141.0699920654297
2008-04-28,139.77691650390625
2008-04-29,141.56967163085938
2008-04-30,140.6071319580078
2008-05-01,146.24993896484375
2008-05-02,147.1462860107422
2008-05-05,144.83187866210938
2008-05-06,145.19190979003906
2008-05-07,139.42422485351562
2008-05-08,137.92529296875
2008-05-09,138.19715881347656
2008-05-12,141.12881469726562
2008-05-13,139.84298706054688
2008-05-14,139.69607543945312
2008-05-15,138.58660888671875
2008-05-16,137.49920654296875
2008-05-19,135.4860076904297
2008-05-20,134.03858947753906
2008-05-21,131.2245635986328
2008-05-22,130.1958770751953
2008-05-23,126.84542846679688
2008-05-27,127.78598022460938
2008-05-28,128.4545135498047
2008-05-29,129.4905242919922
2008-05-30,129.6154327392578
2008-06-02,126.62503814697266
2008-06-03,125.33189392089844
2008-06-04,126.44869995117188
2008-06-05,129.75506591796875
2008-06-06,124.49434661865234
2008-06-09,121.79048156738281
2008-06-10,122.85581970214844
2008-06-11,119.32173919677734
2008-06-12,122.5178451538086
2008-06-13,130.99676513671875
2008-06-16,133.788818359375
2008-06-17,131.84170532226562
2008-06-18,134.2883758544922
2008-06-19,137.34487915039062
2008-06-20,135.02316284179688
2008-06-23,131.2171630859375
2008-06-24,133.70794677734375
2008-06-25,134.9349822998047
2008-06-26,129.5052490234375
2008-06-27,128.2561492919922
2008-06-30,128.50595092773438
2008-07-01,128.8219757080078
2008-07-02,131.36416625976562
2008-07-03,131.43765258789062
2008-07-07,124.7735366821289
2008-07-08,128.50595092773438
2008-07-09,124.18570709228516
2008-07-10,125.02330017089844
2008-07-11,119.38052368164062
2008-07-14,116.58121490478516
2008-07-15,115.94196319580078
2008-07-16,127.00714874267578
2008-07-17,133.1642303466797
2008-07-18,134.3397979736328
2008-07-21,132.82623291015625
2008-07-22,138.16041564941406
2008-07-23,138.0355682373047
2008-07-24,132.4441375732422
2008-07-25,131.5240020751953
2008-07-28,127.28361511230469
2008-07-29,133.71034240722656
2008-07-30,137.05264282226562
2008-07-31,135.4844970703125
2008-08-01,133.9827880859375
2008-08-04,130.93507385253906
2008-08-05,133.07733154296875
2008-08-06,132.17921447753906
2008-08-07,126.86402893066406
2008-08-08,129.52896118164062
2008-08-11,131.03807067871094
2008-08-12,123.16114807128906
2008-08-13,121.39424896240234
2008-08-14,122.6384048461914
2008-08-15,120.12806701660156
2008-08-18,117.81652069091797
2008-08-19,116.31470489501953
2008-08-20,116.49881744384766
2008-08-21,115.15156555175781
2008-08-22,117.64714050292969
2008-08-25,114.62887573242188
2008-08-26,114.77613067626953
2008-08-27,114.45955657958984
2008-08-28,119.1342544555664
2008-08-29,120.70964813232422
2008-09-02,121.7034683227539
2008-09-03,123.38926696777344
2008-09-04,118.44966125488281
2008-09-05,120.1722640991211
2008-09-08,124.94998168945312
2008-09-09,119.01643371582031
2008-09-10,116.01292419433594
2008-09-11,115.60064697265625
2008-09-12,113.52465057373047
2008-09-15,99.7508773803711
2008-09-16,97.9178695678711
2008-09-17,84.29136657714844
2008-09-18,79.5062484741211
2008-09-19,95.55475616455078
2008-09-22,88.91453552246094
2008-09-23,92.05796813964844
2008-09-24,97.91050720214844
2008-09-25,99.7508773803711
2008-09-26,101.583984375
2008-09-29,88.8556137084961
2008-09-30,94.22960662841797
2008-10-01,99.01476287841797
2008-10-02,96.83565521240234
2008-10-03,94.22960662841797
2008-10-06,91.28498077392578
2008-10-07,84.65946197509766
2008-10-08,83.18711853027344
2008-10-09,74.6107177734375
2008-10-10,65.37183380126953
2008-10-13,81.7147445678711
2008-10-14,90.47517395019531
2008-10-15,83.29752349853516
2008-10-16,82.74539947509766
2008-10-17,84.14411926269531
2008-10-20,89.44453430175781
2008-10-21,89.33409881591797
2008-10-22,84.70362854003906
2008-10-23,80.17713165283203
2008-10-24,74.13691711425781
2008-10-27,68.58402252197266
2008-10-28,69.09349060058594
2008-10-29,72.11363220214844
2008-10-30,67.27698516845703
2008-10-31,68.30341339111328
2008-11-03,65.78540802001953
2008-11-04,70.14944458007812
2008-11-05,64.55962371826172
2008-11-06,59.60490036010742
2008-11-07,57.43395233154297
2008-11-10,52.58254623413086
2008-11-11,55.14482498168945
2008-11-12,49.318763732910156
2008-11-13,51.68167495727539
2008-11-14,49.27445602416992
2008-11-17,46.14357376098633
2008-11-18,45.80390167236328
2008-11-19,40.74575424194336
2008-11-20,38.3975944519043
2008-11-21,39.36492919921875
2008-11-24,49.78394317626953
2008-11-25,53.003456115722656
2008-11-26,56.4887809753418
2008-11-28,58.327430725097656
2008-12-01,48.558189392089844
2008-12-02,47.996978759765625
2008-12-03,50.91374206542969
2008-12-04,49.86518859863281
2008-12-05,52.220726013183594
2008-12-08,56.96875762939453
2008-12-09,53.73446273803711
2008-12-10,52.8188362121582
2008-12-11,51.474937438964844
2008-12-12,50.0202751159668
2008-12-15,49.075077056884766
2008-12-16,56.119544982910156
2008-12-17,58.1723747253418
2008-12-18,59.110137939453125
2008-12-19,59.612281799316406
2008-12-22,56.857994079589844
2008-12-23,55.5288200378418
2008-12-24,56.4444465637207
2008-12-26,56.09739685058594
2008-12-29,56.533077239990234
2008-12-30,60.5943603515625
2008-12-31,62.31485366821289
2009-01-02,64.06491088867188
2009-01-05,65.55652618408203
2009-01-06,65.50482177734375
2009-01-07,62.39609909057617
2009-01-08,63.068058013916016
2009-01-09,61.96782684326172
2009-01-12,57.352725982666016
2009-01-13,57.537315368652344
2009-01-14,55.890663146972656
2009-01-15,54.5172119140625
2009-01-16,53.94125747680664
2009-01-20,43.71418762207031
2009-01-21,51.615238189697266
2009-01-22,52.449623107910156
2009-01-23,55.3146858215332
2009-01-26,54.7904167175293
2009-01-27,57.78839874267578
2009-01-28,64.75901794433594
2009-01-29,61.08169937133789
2009-01-30,59.612281799316406
2009-02-02,61.70936584472656
2009-02-03,61.148170471191406
2009-02-04,64.95841217041016
2009-02-05,68.56188201904297
2009-02-06,71.30877685546875
2009-02-09,72.28349304199219
2009-02-10,66.75273132324219
2009-02-11,69.93531799316406
2009-02-12,70.57775115966797
2009-02-13,71.22013854980469
2009-02-17,63.2895622253418
2009-02-18,62.39609909057617
2009-02-19,63.511104583740234
2009-02-20,62.80355453491211
2009-02-23,59.44767761230469
2009-02-24,69.03268432617188
2009-02-25,66.76078796386719
2009-02-26,68.41642761230469
2009-02-27,67.62203979492188
2009-03-02,64.05083465576172
2009-03-03,61.15532684326172
2009-03-04,63.4568977355957
2009-03-05,60.672733306884766
2009-03-06,56.16611862182617
2009-03-09,54.90390396118164
2009-03-10,63.31582260131836
2009-03-11,68.59464263916016
2009-03-12,72.20292663574219
2009-03-13,73.35374450683594
2009-03-16,69.71573638916016
2009-03-17,73.49478149414062
2009-03-18,78.1424789428711
2009-03-19,73.72494506835938
2009-03-20,72.2549057006836
2009-03-23,83.10201263427734
2009-03-24,82.11457824707031
2009-03-25,83.85932159423828
2009-03-26,83.14656829833984
2009-03-27,80.2436294555664
2009-03-30,74.58618927001953
2009-03-31,78.71417999267578
2009-04-01,81.88442993164062
2009-04-02,84.80224609375
2009-04-03,88.64810180664062
2009-04-06,86.60639190673828
2009-04-07,86.18318176269531
2009-04-08,85.19573974609375
2009-04-09,92.30839538574219
2009-04-13,96.62938690185547
2009-04-14,85.46302795410156
2009-04-15,89.97708892822266
2009-04-16,89.97708892822266
2009-04-17,89.53904724121094
2009-04-20,85.38875579833984
2009-04-21,89.3608627319336
2009-04-22,89.45738983154297
2009-04-23,91.17987823486328
2009-04-24,90.05878448486328
2009-04-27,89.76179504394531
2009-04-28,89.5910415649414
2009-04-29,94.4243392944336
2009-04-30,95.40440368652344
2009-05-01,94.35011291503906
2009-05-04,99.60663604736328
2009-05-05,100.37876892089844
2009-05-06,103.36339569091797
2009-05-07,99.28736877441406
2009-05-08,103.63812255859375
2009-05-11,100.80937957763672
2009-05-12,100.53469848632812
2009-05-13,95.9686279296875
2009-05-14,99.19085693359375
2009-05-15,99.78479766845703
2009-05-18,106.28121948242188
2009-05-19,104.79630279541016
2009-05-20,101.29939270019531
2009-05-21,102.09588623046875
2009-05-22,101.4929428100586
2009-05-26,105.73574829101562
2009-05-27,104.21726989746094
2009-05-28,107.67108154296875
2009-05-29,107.61155700683594
2009-06-01,107.43290710449219
2009-06-02,106.5396728515625
2009-06-03,105.81018829345703
2009-06-04,111.2588882446289
