date,adjclose
2007-01-02,9389.0185546875
2007-01-03,9176.08203125
2007-01-04,8963.146484375
2007-01-05,9062.1865234375
2007-01-08,9156.275390625
2007-01-09,9682.17578125
2007-01-10,9606.9091796875
2007-01-11,9606.9091796875
2007-01-12,9606.9091796875
2007-01-15,9855.5009765625
2007-01-16,9953.5517578125
2007-01-17,9953.5517578125
2007-01-18,10201.1513671875
2007-01-19,9856.4912109375
2007-01-22,10012.9716796875
2007-01-23,9923.837890625
2007-01-24,9904.0244140625
2007-01-25,9814.89453125
2007-01-26,9845.5947265625
2007-01-29,9756.458984375
2007-01-30,9824.7978515625
2007-01-31,9804.990234375
2007-02-01,10151.630859375
2007-02-02,9993.166015625
2007-02-05,9928.7900390625
2007-02-06,10151.630859375
2007-02-07,10017.92578125
2007-02-08,9839.654296875
2007-02-09,9705.947265625
2007-02-12,9567.291015625
2007-02-13,9700.998046875
2007-02-14,9592.052734375
2007-02-15,9948.59765625
2007-02-16,10201.1513671875
2007-02-19,10300.1923828125
2007-02-20,10349.708984375
2007-02-21,10150.6416015625
2007-02-22,10300.1923828125
2007-02-23,10324.9521484375
2007-02-26,10399.23046875
2007-02-27,10103.0986328125
2007-02-28,9953.5517578125
2007-03-01,9705.947265625
2007-03-02,9904.0244140625
2007-03-05,9507.8681640625
2007-03-06,9656.4267578125
2007-03-07,9705.947265625
2007-03-08,10052.587890625
2007-03-09,10250.6708984375
2007-03-12,10141.72265625
2007-03-13,10102.109375
2007-03-14,9725.7548828125
2007-03-15,9800.0390625
2007-03-16,9656.4267578125
2007-03-19,9700.998046875
2007-03-20,10102.109375
2007-03-22,10123.900390625
2007-03-23,10399.23046875
2007-03-26,10349.708984375
2007-03-27,10399.23046875
2007-03-28,10300.1923828125
2007-03-29,10428.9443359375
2007-03-30,10577.5029296875
2007-04-02,10696.349609375
2007-04-03,10839.9609375
2007-04-04,10844.912109375
2007-04-05,10678.259765625
2007-04-10,10707.978515625
2007-04-11,10579.201171875
2007-04-12,10935.806640625
2007-04-13,10925.900390625
2007-04-16,11093.3076171875
2007-04-17,11450.8994140625
2007-04-18,11094.29296875
2007-04-19,11044.7685546875
2007-04-20,11153.7294921875
2007-04-23,11143.8251953125
2007-04-24,10990.28515625
2007-04-25,10995.23828125
2007-04-26,10995.23828125
2007-04-30,10975.4267578125
2007-05-02,11015.0546875
2007-05-03,10990.28515625
2007-05-04,10896.1826171875
2007-05-07,10797.126953125
2007-05-08,10599.01171875
2007-05-09,10856.5595703125
2007-05-10,10935.806640625
2007-05-11,11054.67578125
2007-05-14,10700.052734375
2007-05-15,10599.01171875
2007-05-16,10445.4755859375
2007-05-17,10412.7919921875
2007-05-18,10599.01171875
2007-05-21,10693.1171875
2007-05-22,10757.5068359375
2007-05-23,10981.37109375
2007-05-24,10915.998046875
2007-05-25,10821.890625
2007-05-28,10866.4677734375
2007-05-29,10797.126953125
2007-05-30,10524.7216796875
2007-05-31,10425.666015625
2007-06-01,10425.666015625
2007-06-04,10301.8427734375
2007-06-05,10252.3193359375
2007-06-06,10252.3193359375
2007-06-07,10400.9033203125
2007-06-08,10103.7333984375
2007-06-11,10277.08203125
2007-06-12,10143.3564453125
2007-06-13,10232.5078125
2007-06-14,10549.484375
2007-06-15,10550.4794921875
2007-06-18,10510.8544921875
2007-06-19,10578.21484375
2007-06-20,10504.9111328125
2007-06-21,10301.8427734375
2007-06-22,10242.4130859375
2007-06-25,10029.4404296875
2007-06-26,9905.6201171875
2007-06-27,9955.1474609375
2007-06-28,9883.830078125
2007-06-29,9737.224609375
2007-07-02,9965.052734375
2007-07-03,9905.6201171875
2007-07-04,9895.7138671875
2007-07-05,9719.3955078125
2007-07-06,10202.791015625
